Category,Metric,varianta_main_g1 Mean,variantb_main_parallel Mean,varianta_main_g1 P50,variantb_main_parallel P50,varianta_main_g1 P90,variantb_main_parallel P90,Unit
Build,Build time,215498,200624,216187,200629,224890,206831,ms
Task Type,org.jetbrains.kotlin.gradle.plugin.diagnostics.CheckKotlinGradlePluginConfigurationErrors,0,0,0,0,1,1,ms
Task Type,org.gradle.plugin.devel.tasks.GeneratePluginDescriptors,39,38,40,37,49,47,ms
Task Type,org.gradle.language.jvm.tasks.ProcessResources,18,14,10,8,44,42,ms
Task Type,org.jetbrains.kotlin.gradle.tasks.KotlinCompile,3969,3649,2838,2573,10742,9957,ms
Task Type,org.gradle.api.tasks.compile.JavaCompile,656,631,415,381,1320,1420,ms
Task Type,org.gradle.api.DefaultTask,0,0,0,0,1,0,ms
Task Type,org.gradle.api.tasks.bundling.Jar,45,43,35,33,98,89,ms
Task Type,com.android.build.gradle.internal.tasks.AndroidVariantTask,0,0,0,0,1,1,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeDebugMetadataTask,5,3,4,4,13,7,ms
Task Type,com.android.build.gradle.internal.tasks.AarMetadataTask,16,14,9,8,19,16,ms
Task Type,com.google.android.gms.oss.licenses.plugin.DependencyTask,76,83,79,81,155,133,ms
Task Type,com.google.android.gms.oss.licenses.plugin.LicensesTask,76,92,69,74,169,194,ms
Task Type,com.google.firebase.crashlytics.buildtools.gradle.tasks.InjectMappingFileIdTask,26,25,20,26,54,47,ms
Task Type,com.google.gms.googleservices.GoogleServicesTask,21,23,16,17,53,37,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateResourcesTask,13,11,12,11,22,21,ms
Task Type,com.android.build.gradle.tasks.MergeResources,272,273,31,28,190,265,ms
Task Type,com.android.build.gradle.internal.tasks.CheckAarMetadataTask,583,473,126,130,1785,1250,ms
Task Type,com.android.build.gradle.tasks.MapSourceSetPathsTask,89,110,37,31,220,357,ms
Task Type,com.android.build.gradle.internal.res.ParseLibraryResourcesTask,53,64,10,9,41,37,ms
Task Type,com.android.build.gradle.tasks.CompatibleScreensManifest,13,13,14,10,24,25,ms
Task Type,com.android.build.gradle.tasks.ExtractDeepLinksTask,7,7,6,6,13,13,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryManifest,59,60,22,20,45,44,ms
Task Type,com.android.build.gradle.tasks.CompileLibraryResourcesTask,18,16,11,10,35,28,ms
Task Type,com.android.build.gradle.internal.res.GenerateLibraryRFileTask,27,25,18,17,51,46,ms
Task Type,com.android.build.gradle.tasks.ProcessApplicationManifest,603,615,356,302,1250,836,ms
Task Type,com.android.build.gradle.tasks.ProcessMultiApkApplicationManifest,74,121,15,14,238,197,ms
Task Type,com.android.build.gradle.tasks.ProcessPackagedManifestTask,50,102,33,34,81,202,ms
Task Type,com.android.build.gradle.internal.res.LinkApplicationAndroidResourcesTask,1461,1392,1302,1240,2208,2279,ms
Task Type,com.android.build.gradle.tasks.JavaPreCompileTask,11,11,9,8,21,21,ms
Task Type,com.google.devtools.ksp.gradle.KspTaskJvm,3705,3506,3047,2890,6330,6344,ms
Task Type,com.android.build.gradle.tasks.TransformClassesWithAsmTask,340,301,106,101,818,648,ms
Task Type,com.android.build.gradle.internal.tasks.BundleLibraryClassesJar,153,129,21,19,79,54,ms
Task Type,com.google.protobuf.gradle.ProtobufExtract,75,72,10,9,379,354,ms
Task Type,com.android.build.gradle.tasks.GenerateBuildConfig,28,32,22,24,54,65,ms
Task Type,com.google.protobuf.gradle.GenerateProtoTask,83,83,70,78,144,145,ms
Task Type,com.android.build.gradle.tasks.MergeSourceSetFolders,21,19,11,11,24,24,ms
Task Type,androidx.room.gradle.RoomGradlePlugin$RoomSchemaCopyTask,2,3,2,3,5,12,ms
Task Type,com.android.build.gradle.internal.tasks.CompressAssetsTask,26,24,11,13,66,56,ms
Task Type,com.android.build.gradle.internal.coverage.JacocoPropertiesTask,16,12,15,13,42,22,ms
Task Type,com.android.build.gradle.internal.tasks.ProcessJavaResTask,21,19,19,17,30,28,ms
Task Type,com.android.build.gradle.internal.tasks.CheckDuplicateClassesTask,330,309,111,112,799,731,ms
Task Type,com.android.build.gradle.internal.tasks.DexFileDependenciesTask,103,92,31,32,283,235,ms
Task Type,com.android.build.gradle.internal.tasks.L8DexDesugarLibTask,13016,11909,77,78,39945,36391,ms
Task Type,com.android.build.gradle.internal.tasks.DexMergingTask,10129,8856,1437,1065,41269,37802,ms
Task Type,com.android.build.gradle.internal.tasks.MergeNativeLibsTask,12,11,2,3,8,8,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryJniLibsTask,11,10,6,6,13,12,ms
Task Type,com.android.build.gradle.internal.tasks.StripDebugSymbolsTask,6,7,2,2,7,7,ms
Task Type,com.android.build.gradle.internal.tasks.AppMetadataTask,7,7,6,7,14,15,ms
Task Type,com.android.build.gradle.internal.tasks.SigningConfigVersionsWriterTask,21,19,7,7,60,51,ms
Task Type,com.android.build.gradle.internal.tasks.ValidateSigningTask,840,827,9,10,3065,3009,ms
Task Type,dagger.hilt.android.plugin.task.AggregateDepsTask,654,656,753,846,1111,1108,ms
Task Type,com.android.build.gradle.internal.tasks.JacocoTask,1372,944,1339,908,1661,1332,ms
Task Type,com.android.build.gradle.internal.tasks.MergeJavaResourceTask,217,203,13,13,64,94,ms
Task Type,com.android.build.gradle.internal.tasks.DexArchiveBuilderTask,1613,1634,1709,1750,2491,2622,ms
Task Type,com.android.build.gradle.tasks.PackageApplication,3125,2621,3189,2589,5197,3893,ms
Task Type,com.android.build.gradle.internal.tasks.ListingFileRedirectTask,8,7,8,6,19,12,ms
Task Type,com.android.build.gradle.internal.tasks.MergeFileTask,7,7,5,5,10,10,ms
Task Type,com.android.build.gradle.tasks.ExtractAnnotations,25,32,21,21,39,47,ms
Task Type,com.android.build.gradle.tasks.ProcessLibraryArtProfileTask,6,5,4,4,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.MergeConsumerProguardFilesTask,5,5,4,5,9,9,ms
Task Type,com.android.build.gradle.internal.tasks.PrepareLintJarForPublish,15,12,5,5,13,13,ms
Task Type,com.android.build.gradle.internal.tasks.LibraryAarJarsTask,40,39,32,32,73,69,ms
Task Type,com.android.build.gradle.tasks.BundleAar,18,18,16,16,31,33,ms
All processes cpu,Max,100.0,100.0,100.0,100.0,100,100,%
All processes memory,Max,10.8,9.64,10.82,9.65,11.23,9.81,Gb
Build process cpu,Max,93.5,92.5,94.0,92.5,96,94,%
Build processes memory,Max,5.4,5.18,5.41,5.17,5.45,5.3,Gb
Build child processes cpu,Max,90.8,92.6,91.5,93.0,93,94,%
Build child processes memory,Max,4.36,3.4,4.32,3.43,4.87,3.49,Gb
